euSurfaceWaterBodyCode,cArea,cLength
FRFRT33_16,,17.617
FRFRT35_4,,10.139
FRFRT35_5,,16.112
FRFRT4_3,,14.198
FRFRT4_4,,22.908
FRFRT6_1,,11.353
FRFRT6_9,,25.534
FRGC01,127.856,
FRGC32,84.141,
FRGC42,495.716,
FRGC52,304.222,
FRGL011,0.75,
FRGL023,0.8,
FRGL036,1.735,
FRGL052,0.626,
FRGL076,0.605,
FRGL088,0.617,
FRGL128,0.329,
FRGL146,0.617,
FRGR0006A,,52.872
FRGR0013,,63.124
FRGR0040,,72.412
FRGR0051,,78.427
FRGR0063,,81.071
FRGR0065,,24.761
FRGR0071,,10.748
FRGR0081,,65.54
FRGR0097,,19.812
FRGR0123,,216.839
FRGR0136,,63.744
FRGR0151,,17.548
FRGR0163A,,309.187
FRGR0164A,,67.922
FRGR0170,,142.599
FRGR0175,,62.312
FRGR0187,,64.528
FRGR0205,,135.859
FRGR0232,,54.663
FRGR0240,,117.595
FRGR0243,,114.83
FRGR0270,,127.727
FRGR0331A,,222.788
FRGR0393A,,52.098
FRGR0431,,48.983
FRGR0443B,,56.53
FRGR0449,,44.806
FRGR0460B,,36.958
FRGR0465,,108.349
FRGR0492B,,62.366
FRGR0496,,48.267
FRGR0498A,,51.241
FRGR0500A,,65.624
FRGR0502,,52.5
FRGR0518,,71.485
FRGR0542,,53.064
FRGR0552,,303.545
FRGR0553,,16.622
FRGR0556,,26.534
FRGR0558,,26.811
FRGR0561A,,45.091
FRGR0561B,,13.237
FRGR0562B,,22.958
FRGR0587,,38.26
FRGR0601,,166.043
FRGR0909,,7.27
FRGR1019,,18.168
FRGR1043,,20.782
FRGR1058,,57.525
FRGR1077,,29.344
FRGR1086,,10.955
FRGR1129,,22.351
FRGR1132,,12.491
FRGR1144,,41.772
FRGR1162,,8.788
FRGR1164,,78.343
FRGR1168,,24.38
FRGR1177,,23.157
FRGR1198,,30.554
FRGR1228,,11.457
FRGR1231,,18.645
FRGR1233,,64.918
FRGR1237,,110.345
FRGR1277,,27.025
FRGR1288,,46.339
FRGR1289,,11.99
FRGR1294,,14.688
FRGR1301,,34.41
FRGR1318,,21.271
FRGR1334,,75.193
FRGR1335,,57.747
FRAR31,,62.737
FRAR37,,22.016
FRAR51,,67.63
FRB1R475,,61.971
FRB1R495,,35.581
FRB1R496,,16.357
FRB1R502,,11.322
FRB1R507,,27.014
FRB1R530,,9.051
FRB1R544,,6.397
FRB1R565,,7.304
FRB1R582,,22.035
FRB1R585,,23.621
FRB1R590,,1.948
FRCL17,0.73,
FRCL23,2.577,
FRCL28,2.318,
FRCR1,,58.669
FRCR111,,6.784
FRCR117,,8.231
FRCR146,,24.451
FRCR17,,35.701
FRCR180,,25.627
FRGR1375,,19.386
FRGR1400,,13.002
FRGR1439,,15.327
FRGR1454,,14.507
FRGR1458,,16.757
FRGR1480,,45.195
FRGR1489,,11.576
FRGR1518,,65.69
FRGR1535,,36.376
FRGR1543,,22.785
FRGR1546,,56.544
FRGR1567,,21.442
FRGR1573,,23.593
FRGR1575,,56.082
FRGR1593,,44.459
FRGR1605,,19.182
FRGR1611,,32.246
FRGR1614,,11.798
FRGR1615,,32.492
FRGR1623,,22.195
FRGR1647,,43.385
FRGR1648,,23.572
FRGR1691,,9.861
FRGR1708,,21.406
FRGR1709,,34.407
FRGR1713,,10.843
FRGR1721,,14.006
FRGR1755,,17.788
FRGR1763,,84.329
FRGR1810,,11.796
FRGR1814,,20.383
FRGR1860,,16.817
FRGR1869,,105.574
FRGR1873,,94.038
FRGR1908,,32.292
FRGR1910,,15.727
FRGR1972,,53.458
FRGR1991,,13.386
FRGR2047,,47.858
FRGR2059,,23.885
FRGR2078,,20.301
FRGR2101,,18.714
FRGR2124,,7.064
FRGR2130,,81.491
FRGR2133,,13.341
FRGR2155,,17.568
FRGR2175,,9.387
FRGR2210,,22.325
FRGR2220,,23.59
FRGR2259,,10.971
FRGT15,6.538,
FRGT24,4.755,
FRHC11,59.029,
FRHL73,2.688,
FRHR_C04-I6702000,,7.656
FRHR_C07-I6405000,,10.159
FRHR110-F5167000,,17.893
FRHR111,,25.124
FRHR11A,,26.65
FRHR124-F5806000,,6.979
FRHR128-F5911000,,5.882
FRHR130A-F6086000,,7.28
FRHR136,,15.418
FRHR13A-F0902000,,4.938
FRHR142-F6236802,,9.57
FRHR143-F6244200,,13.34
FRHR144-F6304000,,6.733
FRHR155B,,41.491
FRCR2,,103.652
FRCR205,,105.634
FRCR246,,12.951
FRCR305,,17.724
FRCR306,,11.254
FRCR309,,33.947
FRCR338,,39.804
FRCR34,,21.648
FRCR391,,48.503
FRCR430,,4.116
FRCR439,,33.553
FRCR48,,9.774
FRCR53,,14.845
FRCR66,,5.119
FRCR712,,43.649
FRCR94,,7.319
FRDC02D,26.923,
FRDL122,2.191,
FRDL124,1.659,
FRDL130,0.117,
FRDL16,15.938,
FRDL23,0.816,
FRDL72,1.073,
FRDR10012,,8.388
FRDR10014,,14.321
FRDR10083,,11.114
FRDR10085,,6.869
FRDR10091A,,5.797
FRDR10126,,10.803
FRDR10127,,6.072
FRDR10162,,8.266
FRDR10171,,6.72
FRDR10177,,27.212
FRDR10180,,16.363
FRDR10183,,8.663
FRDR10214,,2.149
FRDR10236,,8.734
FRDR10239,,7.263
FRDR10287,,10.748
FRDR10294,,8.544
FRDR10303,,9.439
FRDR10307,,9.833
FRDR10324,,31.704
FRDR10336,,10.056
FRDR10342,,8.847
FRDR10346,,6.272
FRDR10355,,18.416
FRDR10409,,13.982
FRDR10459,,19.123
FRDR10474,,14.802
FRDR10477,,5.43
FRDR105,,28.472
FRDR10507,,8.641
FRDR10531,,6.503
FRDR10540,,12.477
FRDR10547,,14.714
FRDR10548,,5.595
FRDR10595A,,5.155
FRDR106,,34.658
FRDR1060,,25.211
FRDR10606,,9.303
FRDR10609,,14.295
FRDR10678,,7.198
FRDR10694,,6.231
FRDR10712,,5.726
FRDR10755,,5.437
FRDR10766,,8.853
FRDR10777,,24.8
FRDR10812,,6.875
FRDR10824,,12.527
FRDR10836,,25.204
FRDR10883,,8.54
FRDR10896,,17.858
FRDR10905,,6.453
FRDR10925,,10.518
FRDR10945,,6.568
FRDR10956,,13.57
FRDR10957,,8.134
FRDR10958,,5.344
FRDR10959,,2.217
FRDR10965,,7.757
FRDR10996,,21.954
FRDR11010,,7.925
FRHR162-G2059000,,3.198
FRHR169,,12.771
FRHR169A,,1.199
FRHR16-F1165000,,11.214
FRHR16-F1183001,,3.966
FRHR176-H0045100,,8.629
FRHR183-H0184000,,10.462
FRHR186-H0316000,,6.034
FRHR188,,26.353
FRHR194,,29.161
FRHR195B-H1123500,,6.301
FRHR19-F1208000,,9.364
FRHR1-F0046000,,4.9
FRHR201,,29.536
FRHR202A-H1351000,,27.861
FRHR206-H1383000,,12.379
FRHR208B-H1542000,,11.118
FRHR208B-H1544000,,4.245
FRHR209,,50.431
FRHR210-H1578000,,16.2
FRHR216A,,21.172
FRHR217A,,33.944
FRHR217B,,11.359
FRHR220-H2071000,,7.533
FRHR220-H2073000,,13.394
FRHR224-H2138000,,5.597
FRHR227-H2246000,,15.155
FRHR235,,28.718
FRHR239-H3181000,,5.812
FRHR23-F1272000,,5.539
FRHR242A-H4010600,,14.666
FRHR246B-H4313100,,7.83
FRHR264A,,3.098
FRHR264B,,5.174
FRHR265-H5135001,,2.025
FRHR268-H6236000,,5.858
FRHR276-I0211150,,1.878
FRHR28,,32.94
FRHR281-I1137000,,7.366
FRHR281-I1210600,,20.468
FRHR282,,32.134
FRHR284-I1330600,,14.685
FRHR2B-F0126000,,3.655
FRHR303-I2421100,,6.295
FRHR303-I2427000,,6.37
FRHR306-I2529000,,9.849
FRHR308,,31.972
FRHR309-I2630600,,12.098
FRHR310-I3110600,,11.314
FRHR313-I4106000,,9.376
FRHR313-I4118000,,14.39
FRHR315,,19.019
FRHR315-I4230600,,14.424
FRHR316-I4266200,,4.758
FRHR317-I4336750,,11.829
FRHR319-I4409000,,6.987
FRHR322-I4604000,,11.575
FRHR328,,33.264
FRHR335-I6837000,,12.498
FRHR336-I7059000,,8.561
FRHR338-I7127000,,9.184
FRHR341-I7232000,,5.196
FRHR342,,17.7
FRHR347-I9193000,,5.706
FRHR34-F2208000,,2.809
FRHR3A,,48.317
FRHR3B-F0234000,,4.591
FRHR43,,31.103
FRHR44-F3033000,,4.551
FRHR47-F3064000,,3.372
FRHR48,,25.192
FRHR501,,160.398
FRHR509,,15.963
FRHR51,,30.932
FRHR512,,11.53
FRHR59-F3266000,,11.137
FRHR6,,69.961
FRHR60-F3274400,,5.677
FRAL01,0.587,
FRAR01,,33.61
FRAR05,,95.64
FRAR10,,54.67
FRAR36,,58.946
FRAR63,,30.607
FRDR11035,,8.907
FRDR11039,,5.255
FRDR11051,,6.034
FRDR11065,,13.778
FRDR11067,,6.176
FRDR11120,,10.406
FRDR11137,,5.396
FRDR11141,,7.152
FRDR11160,,5.868
FRDR11166,,7.935
FRDR11228,,13.07
FRDR11237,,11.247
FRDR11241,,5.732
FRDR11294,,6.233
FRDR11296,,10.579
FRDR11301,,6.081
FRDR11325,,6.203
FRDR11328,,6.509
FRDR11336,,7.534
FRDR11364,,15.306
FRDR11368,,14.404
FRDR11370,,10.904
FRDR11414,,10.001
FRDR11420,,5.715
FRDR11432,,11.186
FRDR11439,,7.249
FRDR11456,,9.094
FRDR11462,,7.73
FRDR11471,,6.248
FRDR11482,,8.959
FRDR11490,,4.158
FRDR11504,,6.785
FRDR11535,,7.194
FRDR11540,,5.296
FRDR11544,,6.919
FRDR11560,,15.065
FRDR11676,,10.207
FRDR11716,,6.312
FRDR11748,,12.994
FRDR11763,,15.273
FRDR11792,,9.722
FRDR11816,,6.367
FRDR11822,,3.671
FRDR11865,,46.438
FRDR11878,,14.955
FRDR11885,,10.172
FRDR11893,,5.979
FRDR11902,,18.392
FRDR11905,,7.864
FRDR11922,,11.887
FRDR11950,,5.384
FRDR12039,,11.674
FRDR12065,,6.466
FRDR12083,,9.798
FRDR12094,,6.105
FRDR12115,,13.302
FRDR121B,,24.509
FRDR13001,,18.407
FRDR157,,14.631
FRDR1806A,,104.406
FRDR1806D,,20.529
FRDR190,,45.048
FRDR1901,,9.125
FRDR196B,,33.818
FRDR197,,49.929
FRDR2021,,12.655
FRDR2031,,67.707
FRDR2034,,67.733
FRDR2034A,,26.095
FRDR238,,11.298
FRDR250B,,11.061
FRDR257,,53.686
FRDR294,,22.629
FRDR304,,15.504
FRDR305A,,15.697
FRDR323A,,15.171
FRDR325,,16.646
FRDR326,,13.721
FRDR327,,13.528
FRDR329B,,34.184
FRDR331,,13.142
FRHR61C-F3312000,,3.887
FRHR63-F3364000,,6.793
FRHR65-F3414000,,7.588
FRHR66-F3442000,,21.982
FRHR66-F3446000,,11.528
FRHR70A-F3535000,,14.102
FRHR70A-F3548000,,6.338
FRHR73B,,28.952
FRHR81B-F4228400,,8.711
FRHR91-F44-0400,,13.714
FRHR94,,27.704
FRHR96,,16.202
FRHR97-F4614000,,6.45
FRHR97-F4629000,,19.129
FRHR9-F0740600,,16.598
FRIC03,88.81,
FRIC05,779.225,
FRIC07B,297.767,
FRIR15,,11.761
FRIR16,,7.047
FRIR39,,10.221
FRIR41,,11.712
FRJC016,47.598,
FRJR111,,5.429
FRJR117,,8.349
FRKR0091,,30.247
FRKR0092,,11.075
FRKR0120,,14.811
FRKR0160,,7.66
FRKR0207,,7.932
FRKR0250,,35.593
FRKR0254,,9.402
FRKR0311,,6.836
FRKR0334,,4.785
FRKR0345,,54.473
FRKR0346,,10.35
FRKR0358,,122
FRKR0390,,38.509
FRKR0399,,16.363
FRKR0404,,176.417
FRKR0405,,57.771
FRKR0411,,29.731
FRKR0421,,5.909
FRKR0444,,20.945
FRKR0446,,8.445
FRKR0460,,6.387
FRKR0463,,7.019
FRKR1065,,47.454
FRKR1087,,11.289
FRKR1105,,4.424
FRKR1136,,99.478
FRKR1169,,153
FRKR1180,,50.487
FRKR1182,,26.448
FRKR1196,,13.192
FRKR2038,,28.834
FRKR3093,,17.866
FRKR4011,,16.824
FRKR4039,,11.133
FRKR4095,,10.177
FRKR4127,,37.032
FRKR4151,,10.483
FRKR5101,,12.865
FRKR5110,,11.68
FRKR5135,,20.363
FRKR5136,,78.393
FRKR5161,,25.919
FRKR5172,,9.652
FRKR5193,,11.84
FRKR5196,,14.313
FRKR5209,,6.052
FRKR6008,,34.513
FRKR6027,,30.128
FRKR6029,,16.258
FRKR6034,,15.905
FRKR7007,,50.47
FRKR8043,,46.747
FRKR8055,,9.487
FRKR9013,,63.567
FRLC108,37.657,
FRLC110,0.734,
FRLR01,,25.882
FRLR05,,54.797
FRLR13,,7.659
FRMC13,43.745,
FRMR22,,12.979
FRB1L38,0.624,
FRB1R479,,11.847
FRB1R508,,9.513
FRB1R513,,7.79
FRB1R525,,4.117
FRB1R538,,3.397
FRB1R606,,2.684
FRB2R44,,18.762
FRB2R54,,22.373
FRCL29,0.578,
FRCR126,,28.906
FRCR131,,18.735
FRCR136,,13.043
FRCR138,,11.688
FRCR141,,9.549
FRCR153,,22.336
FRCR175,,17.908
FRCR186,,6.249
FRCR198,,3.745
FRCR226,,6.452
FRCR242,,34.236
FRCR26,,9.173
FRCR299,,5.879
FRCR332,,16.282
FRCR354,,11.155
FRCR369,,16.147
FRCR379,,7.78
FRCR412,,39.036
FRCR418,,23.734
FRCR54,,8.266
FRCR61,,17.697
FRCR704,,30.667
FRCR713,,5.221
FRCR714,,22.705
FRCR80,,49.785
FRCR90,,24.672
FRDC02C,15.792,
FRDC07B,140.724,
FRDC07D,27.649,
FRDC09B,93.005,
FRDL104,0.091,
FRDL25,0.71,
FRDL60,43.953,
FRDL8,0.718,
FRDL82,1.145,
FRDL91,0.678,
FRDL96,0.163,
FRDR10009,,20.172
FRDR10032,,5.416
FRDR10034,,7.267
FRDR10046,,4.721
FRDR10081,,24.291
FRDR10103,,7.42
FRDR10141,,12.19
FRDR10151,,7.403
FRDR10225,,10.943
FRDR10231,,7.557
FRDR10266,,14.107
FRDR10306,,7.361
FRDR10326,,6.632
FRDR10333,,13.425
FRDR10345,,11.616
FRDR10363,,23.299
FRDR10385,,28.465
FRDR10388,,4.384
FRDR10390,,9.122
FRDR10449,,5.516
FRDR10467,,10.95
FRDR10468,,4.225
FRDR10490,,7.599
FRDR10504,,6.626
FRDR10536,,3.178
FRDR10538,,7.067
FRDR10555,,9.066
FRDR10556,,18.688
FRDR10637,,10.872
FRDR10642,,13.965
FRDR10697,,6.482
FRDR10707,,18.681
FRDR10723,,8.591
FRDR10726,,6.382
FRDR10736,,20.709
FRDR10737,,4.753
FRDR10780,,5.376
FRDR333,,11.882
FRDR335B,,21.707
FRDR344A,,3.698
FRDR345,,82.807
FRDR371,,13.963
FRDR390,,44.466
FRDR396,,30.036
FRDR413C,,33.098
FRDR416,,28.589
FRDR417A,,25.305
FRDR423,,11.156
FRDR430,,14.725
FRDR444A,,32.183
FRDR455,,19.559
FRDR461A,,24.93
FRDR514,,7.059
FRDR536,,3.616
FRDR553,,4.476
FRDR556B,,7.134
FRDR564A,,33.202
FRDR566B,,11.378
FRDR577B,,18.649
FRDR593C,,26.525
FRDR598,,116.201
FRDR602,,41.622
FRDR639,,10.419
FRDR644,,14.971
FRDR648A,,14.35
FRDR673,,17.141
FRDR688,,11.698
FRDR698,,12.816
FRDT20,17.195,
FREC03B,11.452,
FRER10421,,6.583
FRER10552,,6.81
FRER10622,,9.895
FRER10855,,17.89
FRER11227,,27.309
FRER11429,,16.626
FRER11448,,5.787
FRER11602,,10.02
FRER11638,,6.076
FRER12026,,5.737
FRER2,,16.37
FRER23,,24.053
FRER24,,17.307
FRER53,,8.448
